group_id,suspicious,severity,group_size,label_min,label_max,label_range,label_mean,rel_range,max_min_ratio,fc_values_in_group,type_values_in_group,source_row,Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
3966,,low,4,1840.0,1861.0,21.0,1850.5,0.011348,1.011413,85,fcu150,5311,"Yang GJ. Research on Behavior and Ultimate Bearing Capacity of Reactive Powder Concrete-Filled Steel Tube Columns under Axial Compression[D]. Beijing Jiaotong University, 2013",85,fcu150,B-4.5-1,351,93.7767476,0,133,133,4.5,66.5,400,0,0,1840
3966,,low,4,1840.0,1861.0,21.0,1850.5,0.011348,1.011413,85,fcu150,5312,"Yang GJ. Research on Behavior and Ultimate Bearing Capacity of Reactive Powder Concrete-Filled Steel Tube Columns under Axial Compression[D]. Beijing Jiaotong University, 2013",85,fcu150,B-4.5-2,351,93.7767476,0,133,133,4.5,66.5,400,0,0,1840
2428,,low,2,4340.0,4389.0,49.0,4364.5,0.011227,1.01129,181,Cylinder 100x200,3670,"Design of Concrete Filled Tubular Beam-columns with High Strength Steel and Concrete, J.Y. Richard Liew; Mingxiang Xiong; Dexin Xiong, Structures, 2016",181,Cylinder 100x200,CS-2,374,172.964,0,219.1,219.1,16,109.55,3640,20,20,4389
2428,,low,2,4340.0,4389.0,49.0,4364.5,0.011227,1.01129,181,Cylinder 100x200,3300,"Behaviour of steel tubular members infilled with ultra high strength concrete, Ming-Xiang Xiong; De-Xin Xiong; J.Y. Richard Liew, Journal of Constructional Steel Research, 2017",181,Cylinder 100x200,CS-2,374,172.964,0,219.1,219.1,16,109.55,3640,20,20,4340
772,,low,2,3025.0,3059.0,34.0,3042.0,0.011177,1.01124,68.4,cube,987,"Square concrete-filled stainless steel/carbon steel bimetallic tubular stub columns under axial compression, Yong Ye; Shi-Jiang Zhang; Lin-Hai Han; Yang Liu, Journal of Constructional Steel Research, 2018",68.4,cube,CFST-2,294.6,59.41,0,200,200,3.3,0,600,0,0,3059
772,,low,2,3025.0,3059.0,34.0,3042.0,0.011177,1.01124,68.4,cube,986,"Square concrete-filled stainless steel/carbon steel bimetallic tubular stub columns under axial compression, Yong Ye; Shi-Jiang Zhang; Lin-Hai Han; Yang Liu, Journal of Constructional Steel Research, 2018",68.4,cube,CFST-1,294.6,59.41,0,200,200,3.3,0,600,0,0,3025
1417,,low,2,990.0,1001.0,11.0,995.5,0.01105,1.011111,84.7,Cube 100,1862,"钢管超高强混凝土长柱及偏压柱的性能与极限承载能力的研究, 谭克锋; 蒲心诚, 建筑结构学报, 2000",84.7,Cube 100,PG3-1,352,71.484,0,133,133,4.7,66.5,465,39.9,39.9,1001
1417,,low,2,990.0,1001.0,11.0,995.5,0.01105,1.011111,84.7,Cube 100,1863,"钢管超高强混凝土长柱及偏压柱的性能与极限承载能力的研究, 谭克锋; 蒲心诚, 建筑结构学报, 2000",84.7,Cube 100,PG3-2,352,71.484,0,133,133,4.7,66.5,465,39.9,39.9,990
2749,,low,2,862.59,872.03,9.44,867.31,0.010884,1.010944,31.7,cylinder,3772,"Axial compressive behaviors of circular steel slag concrete-filled steel tube slender columns, Linhan Lu; Tao Liang; Tianhe Zhang; Qingxin Ren; Qinghe Wang; Sheng Wang, Structural Concrete, 2023",31.7,cylinder,SSCFST-100-80-b,472.68,31.7,100,160,160,3,80,3200,0,0,872.03
2749,,low,2,862.59,872.03,9.44,867.31,0.010884,1.010944,31.7,cylinder,3771,"Axial compressive behaviors of circular steel slag concrete-filled steel tube slender columns, Linhan Lu; Tao Liang; Tianhe Zhang; Qingxin Ren; Qinghe Wang; Sheng Wang, Structural Concrete, 2023",31.7,cylinder,SSCFST-100-80-a,472.68,31.7,100,160,160,3,80,3200,0,0,862.59
2113,,low,2,13928.0,14080.0,152.0,14004.0,0.010854,1.010913,38,cube,2773,"大尺寸钢管混凝土柱承载力试验, 陈彦江; 李勇; 闫维明; 潘迪, Unknown, 2011",38,cube,PY-2-10,342,31.065,0,500,500,10,250,1500,100,100,14080
2113,,low,2,13928.0,14080.0,152.0,14004.0,0.010854,1.010913,38,cube,2775,"大尺寸钢管混凝土柱承载力试验, 陈彦江; 李勇; 闫维明; 潘迪, Unknown, 2011",38,cube,PY-4-10,342,31.065,0,500,500,10,250,1500,100,100,13928
24,,low,2,4493.0,4542.0,49.0,4517.5,0.010847,1.010906,40.5,Cylinder 100x200,32,"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR8-C-4-2,835,38.702,0,175,175,6.47,0,350,0,0,4542
24,,low,2,4493.0,4542.0,49.0,4517.5,0.010847,1.010906,40.5,Cylinder 100x200,31,"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR8-C-4-1,835,38.702,0,175,175,6.47,0,350,0,0,4493
1428,,low,2,920.0,930.0,10.0,925.0,0.010811,1.01087,85.2,cube,1882,"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",85.2,cube,CB2-1,404,75.627,0,100,100,2,50,300,0,0,930
1428,,low,2,920.0,930.0,10.0,925.0,0.010811,1.01087,85.2,cube,1883,"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",85.2,cube,CB2-2,404,75.627,0,100,100,2,50,300,0,0,920
