rank,feature,importance
1,e_bar,0.20748807
2,Re (mm),0.11058794
3,ke,0.10456615
4,b/h,0.10343355
5,fy (MPa),0.10180571
6,fc (MPa),0.09977749
7,lambda_bar,0.09461777
8,te (mm),0.090481736
9,r0 (mm),0.087241605
