rank,feature,importance
1,e1/e2,0.472213
2,e1 (mm),0.26939154
3,lambda,0.11991479
4,fc (MPa),0.024765046
5,fy (MPa),0.024605209
6,Npl (kN),0.023529211
7,ke,0.022357782
8,Re (mm),0.022304602
9,te (mm),0.020918809
