rank,feature,importance
1,e_bar,0.18051481
2,e/h,0.16626786
3,Re (mm),0.12837875
4,fc (MPa),0.11210315
5,fy (MPa),0.105545335
6,ke,0.10523287
7,te (mm),0.10132753
8,lambda_bar,0.10062965
