rank,feature,importance
1,e_bar,0.16202913
2,Re (mm),0.11736714
3,e/h,0.1104537
4,fc (MPa),0.107416525
5,ke,0.107196145
6,e1/e2,0.10406316
7,fy (MPa),0.1035431
8,lambda_bar,0.09431492
9,te (mm),0.09361618
