Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
"Experimental behavior of circular concrete-filled steel tube stub columns, Zhi-wu Yu; Fa-xing Ding; C.S. Cai, Unknown, 2006",50.5,Cube 150,SZ5S4E4,350,42.531,0,219,219,4.74,109.5,650,0,0,1680
"Mechanical Behavior of Circular Steel-Concrete Composite Stub Columns, Mathias Johansson; Kent Gylltoft, Journal of Structural Engineering, 2002",64.5,Cylinder 150x300,SFS,433,64.5,0,159,159,4.8,79.5,650,0,0,950
"Engineering Structures | A unified formulation for circle and polygon concrete-filled steel tube columns under axial compression | Min Yu, Xiaoxiong Zha, Jianqiao Ye... | 2013",34.4,"fck,150",C3-S-1,291.5,34.4,0,219,219,3.8,109.5,3810,0,0,969
