group_id,suspicious,severity,group_size,label_min,label_max,label_range,label_mean,rel_range,max_min_ratio,fc_values_in_group,type_values_in_group,source_row,Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
3377,Y,high,6,969.0,1684.0,715.0,1381.6667,0.517491,1.737874,34.4,"fck,150",4560,"Engineering Structures | A unified formulation for circle and polygon concrete-filled steel tube columns under axial compression | Min Yu, Xiaoxiong Zha, Jianqiao Ye... | 2013",34.4,"fck,150",C3-S-1,291.5,34.4,0,219,219,3.8,109.5,3810,0,0,969
2552,Y,high,4,910.0,1530.0,620.0,1287.5,0.481553,1.681319,56,Cube 150x150x150mm,3462,"Unknown, Railway Engineering, 2011",56,Cube 150x150x150mm,6-SehB-20-4,330,47.666,0,168,168,6,84,500,4,4,1530
2552,Y,high,4,910.0,1530.0,620.0,1287.5,0.481553,1.681319,56,Cube 150x150x150mm,3461,"Unknown, Railway Engineering, 2011",56,Cube 150x150x150mm,5-SehB-20-4,330,47.666,0,168,168,6,84,500,4,4,1510
2552,Y,high,4,910.0,1530.0,620.0,1287.5,0.481553,1.681319,56,Cube 150x150x150mm,3478,"Unknown, Railway Engineering, 2011",56,Cube 150x150x150mm,22-SehB-40-4,330,47.666,0,168,168,6,84,500,4,4,1200
2552,Y,high,4,910.0,1530.0,620.0,1287.5,0.481553,1.681319,56,Cube 150x150x150mm,3480,"Unknown, Railway Engineering, 2011",56,Cube 150x150x150mm,24-SehB-60-4,330,47.666,0,168,168,6,84,500,4,4,910
2551,Y,high,4,870.0,1420.0,550.0,1192.5,0.461216,1.632184,56,Cube 150x150x150mm,3460,"Unknown, Railway Engineering, 2011",56,Cube 150x150x150mm,4-SehA-20-4,330,47.666,0,168,168,6,84,500,4,-4,1420
2551,Y,high,4,870.0,1420.0,550.0,1192.5,0.461216,1.632184,56,Cube 150x150x150mm,3459,"Unknown, Railway Engineering, 2011",56,Cube 150x150x150mm,3-SehA-20-4,330,47.666,0,168,168,6,84,500,4,-4,1400
2551,Y,high,4,870.0,1420.0,550.0,1192.5,0.461216,1.632184,56,Cube 150x150x150mm,3477,"Unknown, Railway Engineering, 2011",56,Cube 150x150x150mm,21-SehA-40-4,330,47.666,0,168,168,6,84,500,4,-4,1080
2551,Y,high,4,870.0,1420.0,550.0,1192.5,0.461216,1.632184,56,Cube 150x150x150mm,3479,"Unknown, Railway Engineering, 2011",56,Cube 150x150x150mm,23-SehA-60-4,330,47.666,0,168,168,6,84,500,4,-4,870
3771,Y,high,2,13611.0,16636.0,3025.0,15123.5,0.20002,1.222247,72.36,"fcu,150",5060,"建筑结构学报 Journal of Building Structures | 钢管高强再生混凝土柱轴压性能试验研究 | 牛海成, 曹万林, 董宏英... | 2015",72.36,"fcu,150",SST-1-1,360.4,63.2,100,450,450,7.8,0,1500,0,0,16636
3771,Y,high,2,13611.0,16636.0,3025.0,15123.5,0.20002,1.222247,72.36,"fcu,150",5059,"建筑结构学报 Journal of Building Structures | 钢管高强再生混凝土柱轴压性能试验研究 | 牛海成, 曹万林, 董宏英... | 2015",72.36,"fcu,150",SST-1,360.4,63.2,100,450,450,7.8,0,1500,0,0,13611
2235,Y,medium,2,982.0,1511.0,529.0,1246.5,0.424388,1.538697,66,Cylinder 100x200,3080,"Confinement of six different concretes in CFST columns having different shapes and slenderness, Khandaker M. A. Hossain; Katie Chu, Unknown, 2019",66,Cylinder 100x200,NcI-9,333,63.07,0,114,114,4.8,57,1000,0,0,1511
2235,Y,medium,2,982.0,1511.0,529.0,1246.5,0.424388,1.538697,66,Cylinder 100x200,3084,"Confinement of six different concretes in CFST columns having different shapes and slenderness, Khandaker M. A. Hossain; Katie Chu, Unknown, 2019",66,Cylinder 100x200,LcI-9,333,63.07,0,114,114,4.8,57,1000,0,0,982
1694,Y,medium,4,1372.0,2038.4,666.4,1653.75,0.402963,1.485714,84.4,Cube 100x100x100mm,2215,"Researches on Behavior of High-Performance Concrete Filled Tubular Steel Short Columns, Z. W. Yu; F. X. Ding; S. Lin, Journal of Building Structures, 2002",84.4,Cube 100x100x100mm,G4-1d,338,71.206,0,165,165,1,82.5,500,0,0,2038.4
