group_id,suspicious,severity,group_size,label_min,label_max,label_range,label_mean,rel_range,max_min_ratio,fc_values_in_group,type_values_in_group,source_row,Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
3635,,low,4,3186.0,3313.6,127.6,3261.7,0.039121,1.04005,108.5,fcu150,5074,"Journal of Constructional Steel Research | Behaviour of high-strength spirally reinforced square concrete-filled steel tubes under eccentric compression | Wei-Jie Li, Wei Li | 2025",108.5,fcu150,SE4-2,592.2,98.58686857,0,159,159,4,0,480,24,24,3313.6
3635,,low,4,3186.0,3313.6,127.6,3261.7,0.039121,1.04005,108.5,fcu150,5063,"Journal of Constructional Steel Research | Behaviour of high-strength spirally reinforced square concrete-filled steel tubes under eccentric compression | Wei-Jie Li, Wei Li | 2025",108.5,fcu150,SE4-1,592.2,98.58686857,0,159,159,4,0,480,24,24,3297.2
3635,,low,4,3186.0,3313.6,127.6,3261.7,0.039121,1.04005,108.5,fcu150,5075,"Journal of Constructional Steel Research | Behaviour of high-strength spirally reinforced square concrete-filled steel tubes under eccentric compression | Wei-Jie Li, Wei Li | 2025",108.5,fcu150,SE3-1,592.2,98.58686857,0,159,159,4,0,480,24,24,3250
3635,,low,4,3186.0,3313.6,127.6,3261.7,0.039121,1.04005,108.5,fcu150,5062,"Journal of Constructional Steel Research | Behaviour of high-strength spirally reinforced square concrete-filled steel tubes under eccentric compression | Wei-Jie Li, Wei Li | 2025",108.5,fcu150,SE3-2,592.2,98.58686857,0,159,159,4,0,480,24,24,3186
1380,,low,2,3152.0,3277.0,125.0,3214.5,0.038886,1.039657,41.1,Cylinder 100x200,1868,"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CC4-C-4-1,279,39.275,0,300,300,2.96,150,600,0,0,3277
1380,,low,2,3152.0,3277.0,125.0,3214.5,0.038886,1.039657,41.1,Cylinder 100x200,1869,"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CC4-C-4-2,279,39.275,0,300,300,2.96,150,600,0,0,3152
4603,,low,2,3152.0,3277.0,125.0,3214.5,0.038886,1.039657,41.1,fcy100,6424,"K. Sakino, H. Nakahara, S. Morino, I. Nishiyama, Behavior of centrally loaded concrete-filled steel-tube short columns, J Struct Eng, 2004;130: 180-188.",41.1,fcy100,CC4-C-4-1,279,39.27530812,0,300,300,2.96,150,900,0,0,3277
4603,,low,2,3152.0,3277.0,125.0,3214.5,0.038886,1.039657,41.1,fcy100,6425,"K. Sakino, H. Nakahara, S. Morino, I. Nishiyama, Behavior of centrally loaded concrete-filled steel-tube short columns, J Struct Eng, 2004;130: 180-188.",41.1,fcy100,CC4-C-4-2,279,39.27530812,0,300,300,2.96,150,900,0,0,3152
1475,,low,3,1518.0,1578.0,60.0,1543.6667,0.038868,1.039526,77.4,Cube 100,2026,"钢管超高强混凝土长柱及偏压柱的性能与极限承载能力的研究, 谭克锋; 蒲心诚, 建筑结构学报, 2000",77.4,Cube 100,DZ1-2,358,64.744,0,108,108,4.5,54,378,0,0,1578
1475,,low,3,1518.0,1578.0,60.0,1543.6667,0.038868,1.039526,77.4,Cube 100,2025,"钢管超高强混凝土长柱及偏压柱的性能与极限承载能力的研究, 谭克锋; 蒲心诚, 建筑结构学报, 2000",77.4,Cube 100,DZ1-1,358,64.744,0,108,108,4.5,54,378,0,0,1535
