rank,feature,importance
1,e1 (mm),0.48863083
2,e1/e2,0.22196983
3,lambda,0.13770744
4,Re (mm),0.03661158
5,fy (MPa),0.032734018
6,fc (MPa),0.032304958
7,te (mm),0.026944088
8,ke,0.02309725
