b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar,Npl (kN),eta_u,r,b/h,L/h,axial_flag,section_family
450.0,450.0,225.0,3.2,0.0,265.0,25.4,1888.0,0.0,0.0,4540.0,0.5,140.625,154551.40457558676,6905.396487603453,221.8,4.900895388666271,1.0,0.46615228837171846,5.8554430928609635,16.909088019508225,0.20368161069825289,0.0,0.0,0.0,5755.535745434819,0.7888058038039363,-0.21119419619606372,1.0,4.195555555555556,axial,circular
200.0,200.0,10.5,6.0,0.0,485.0,38.0,695.0,0.0,0.0,3488.0,0.0525,33.333333333333336,35260.37661737549,4523.016027317217,105.94209016191056,6.589892779550098,0.4019182808083025,1.6371908996748497,12.12521114809698,12.045970469120734,0.14910340786963328,0.0,0.0,0.0,3533.557084709119,0.987107301900892,-0.01289269809910798,1.0,3.475,axial,square
200.0,200.0,10.5,6.0,0.0,485.0,38.0,695.0,0.0,0.0,3452.0,0.0525,33.333333333333336,35260.37661737549,4523.016027317217,105.94209016191056,6.589892779550098,0.4019182808083025,1.6371908996748497,12.12521114809698,12.045970469120734,0.14910340786963328,0.0,0.0,0.0,3533.557084709119,0.9769192678216396,-0.023080732178360375,1.0,3.475,axial,square
200.0,200.0,10.5,6.0,0.0,485.0,80.5,695.0,0.0,0.0,4921.0,0.0525,33.333333333333336,35260.37661737549,4523.016027317217,105.94209016191056,6.589892779550098,0.4019182808083025,0.772835455747134,12.12521114809698,12.045970469120734,0.16924966675819744,0.0,0.0,0.0,5032.123090947578,0.9779172550155857,-0.022082744984414315,1.0,3.475,axial,square
200.0,200.0,10.5,6.0,0.0,485.0,80.5,695.0,0.0,0.0,4973.0,0.0525,33.333333333333336,35260.37661737549,4523.016027317217,105.94209016191056,6.589892779550098,0.4019182808083025,0.772835455747134,12.12521114809698,12.045970469120734,0.16924966675819744,0.0,0.0,0.0,5032.123090947578,0.9882508655136166,-0.011749134486383372,1.0,3.475,axial,square
200.0,200.0,10.5,6.0,0.0,485.0,112.1,695.0,0.0,0.0,6060.0,0.0525,33.333333333333336,35260.37661737549,4523.016027317217,105.94209016191056,6.589892779550098,0.4019182808083025,0.5549799659914745,12.12521114809698,12.045970469120734,0.18212846310723657,0.0,0.0,0.0,6146.350992056643,0.9859508524377731,-0.01404914756222686,1.0,3.475,axial,square
200.0,200.0,10.5,6.0,0.0,485.0,112.1,695.0,0.0,0.0,6298.0,0.0525,33.333333333333336,35260.37661737549,4523.016027317217,105.94209016191056,6.589892779550098,0.4019182808083025,0.5549799659914745,12.12521114809698,12.045970469120734,0.18212846310723657,0.0,0.0,0.0,6146.350992056643,1.0246730146292238,0.024673014629223777,1.0,3.475,axial,square
200.0,200.0,10.5,6.0,0.0,485.0,112.1,695.0,0.0,0.0,6218.0,0.0525,33.333333333333336,35260.37661737549,4523.016027317217,105.94209016191056,6.589892779550098,0.4019182808083025,0.5549799659914745,12.12521114809698,12.045970469120734,0.18212846310723657,0.0,0.0,0.0,6146.350992056643,1.0116571617917614,0.01165716179176135,1.0,3.475,axial,square
200.0,200.0,100.0,6.0,0.0,451.0,38.0,695.0,0.0,0.0,3503.0,0.5,33.333333333333336,27759.112687119414,5511.186151221481,94.0,8.909013388201302,1.0,2.3563101054191584,42.74430891573178,14.304352860959982,0.1938010475203043,0.0,0.0,0.0,3540.3912363114255,0.9894386710915086,-0.010561328908491374,1.0,3.475,axial,circular
200.0,200.0,100.0,6.0,0.0,451.0,38.0,695.0,0.0,0.0,3519.0,0.5,33.333333333333336,27759.112687119414,5511.186151221481,94.0,8.909013388201302,1.0,2.3563101054191584,42.74430891573178,14.304352860959982,0.1938010475203043,0.0,0.0,0.0,3540.3912363114255,0.9939579456383154,-0.00604205436168459,1.0,3.475,axial,circular
200.0,200.0,100.0,6.0,0.0,451.0,80.5,695.0,0.0,0.0,4463.0,0.5,33.333333333333336,27759.112687119414,5511.186151221481,94.0,8.909013388201302,1.0,1.1122954534897889,42.74430891573178,14.304352860959982,0.21285273474421654,0.0,0.0,0.0,4720.153525514001,0.9455200929113852,-0.05447990708861483,1.0,3.475,axial,circular
200.0,200.0,100.0,6.0,0.0,451.0,80.5,695.0,0.0,0.0,4423.0,0.5,33.333333333333336,27759.112687119414,5511.186151221481,94.0,8.909013388201302,1.0,1.1122954534897889,42.74430891573178,14.304352860959982,0.21285273474421654,0.0,0.0,0.0,4720.153525514001,0.9370457922803174,-0.06295420771968263,1.0,3.475,axial,circular
200.0,200.0,100.0,6.0,0.0,451.0,112.1,695.0,0.0,0.0,5071.0,0.5,33.333333333333336,27759.112687119414,5511.186151221481,94.0,8.909013388201302,1.0,0.7987491882776807,42.74430891573178,14.304352860959982,0.22568828879448163,0.0,0.0,0.0,5597.3414864269735,0.9059658075707365,-0.09403419242926347,1.0,3.475,axial,circular
200.0,200.0,100.0,6.0,0.0,451.0,112.1,695.0,0.0,0.0,5040.0,0.5,33.333333333333336,27759.112687119414,5511.186151221481,94.0,8.909013388201302,1.0,0.7987491882776807,42.74430891573178,14.304352860959982,0.22568828879448163,0.0,0.0,0.0,5597.3414864269735,0.9004274640419073,-0.09957253595809268,1.0,3.475,axial,circular
200.0,200.0,100.0,6.0,0.0,451.0,112.1,695.0,0.0,0.0,5099.0,0.5,33.333333333333336,27759.112687119414,5511.186151221481,94.0,8.909013388201302,1.0,0.7987491882776807,42.74430891573178,14.304352860959982,0.22568828879448163,0.0,0.0,0.0,5597.3414864269735,0.9109681823709694,-0.08903181762903056,1.0,3.475,axial,circular
