rank,feature,importance
1,As (mm^2),0.18734957
2,Ac (mm^2),0.16605805
3,Re (mm),0.16160275
4,e_bar,0.09589552
5,e1 (mm),0.059064914
6,te (mm),0.051923722
7,e/h,0.049463626
8,ke,0.045890052
9,fc (MPa),0.036195114
10,lambda_bar,0.033975482
11,e1/e2,0.023092045
12,fy (MPa),0.022971774
13,e2 (mm),0.021877902
14,r0/h,0.013661135
15,b/t,0.012615611
16,xi,0.007882654
17,sigma_re (MPa),0.0078085978
18,R (%),0.0026714578
